[2020-11-16 16:23:15]	 - Output instruction: {"instType":3}
[2020-11-16 16:23:22]	RCC - prev: {"nu":90,"lrn":0,"rev":85}, current: {"nu":90,"lrn":0,"rev":84}
[2020-11-16 16:23:22]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:23:30]	RCC - prev: {"nu":90,"lrn":0,"rev":84}, current: {"nu":90,"lrn":0,"rev":83}
[2020-11-16 16:23:30]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:24:01]	RCC - prev: {"nu":90,"lrn":0,"rev":83}, current: {"nu":90,"lrn":1,"rev":82}
[2020-11-16 16:24:01]	 - Output instruction: {"instType":1,"dy":0,"logType":"rev-again"}
[2020-11-16 16:24:11]	RCC - prev: {"nu":90,"lrn":1,"rev":82}, current: {"nu":90,"lrn":2,"rev":81}
[2020-11-16 16:24:11]	 - Output instruction: {"instType":1,"dy":0,"logType":"rev-again"}
[2020-11-16 16:24:16]	RCC - prev: {"nu":90,"lrn":2,"rev":81}, current: {"nu":90,"lrn":2,"rev":80}
[2020-11-16 16:24:16]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:24:17]	 - Output instruction: {"instType":3}
[2020-11-16 16:24:19]	RCC - prev: {"nu":90,"lrn":2,"rev":81}, current: {"nu":90,"lrn":2,"rev":80}
[2020-11-16 16:24:19]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:24:22]	RCC - prev: {"nu":90,"lrn":2,"rev":80}, current: {"nu":90,"lrn":2,"rev":79}
[2020-11-16 16:24:22]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:24:26]	RCC - prev: {"nu":90,"lrn":2,"rev":79}, current: {"nu":90,"lrn":2,"rev":79}
[2020-11-16 16:24:26]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-11-16 16:24:40]	RCC - prev: {"nu":90,"lrn":2,"rev":79}, current: {"nu":90,"lrn":3,"rev":78}
[2020-11-16 16:24:40]	 - Output instruction: {"instType":1,"dy":0,"logType":"rev-again"}
[2020-11-16 16:24:46]	RCC - prev: {"nu":90,"lrn":3,"rev":78}, current: {"nu":90,"lrn":3,"rev":77}
[2020-11-16 16:24:46]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:24:52]	RCC - prev: {"nu":90,"lrn":3,"rev":77}, current: {"nu":90,"lrn":3,"rev":76}
[2020-11-16 16:24:52]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:25:04]	RCC - prev: {"nu":90,"lrn":3,"rev":76}, current: {"nu":90,"lrn":3,"rev":76}
[2020-11-16 16:25:04]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-11-16 16:25:06]	RCC - prev: {"nu":90,"lrn":3,"rev":76}, current: {"nu":90,"lrn":3,"rev":75}
[2020-11-16 16:25:06]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:28:42]	RCC - prev: {"nu":90,"lrn":3,"rev":75}, current: {"nu":90,"lrn":3,"rev":75}
[2020-11-16 16:28:42]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-11-16 16:28:44]	RCC - prev: {"nu":90,"lrn":3,"rev":75}, current: {"nu":90,"lrn":3,"rev":74}
[2020-11-16 16:28:44]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:28:46]	RCC - prev: {"nu":90,"lrn":3,"rev":74}, current: {"nu":90,"lrn":3,"rev":73}
[2020-11-16 16:28:46]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:28:50]	RCC - prev: {"nu":90,"lrn":3,"rev":73}, current: {"nu":90,"lrn":3,"rev":72}
[2020-11-16 16:28:50]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:29:02]	RCC - prev: {"nu":90,"lrn":3,"rev":72}, current: {"nu":90,"lrn":3,"rev":71}
[2020-11-16 16:29:02]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:29:07]	RCC - prev: {"nu":90,"lrn":3,"rev":71}, current: {"nu":90,"lrn":3,"rev":70}
[2020-11-16 16:29:07]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:29:10]	RCC - prev: {"nu":90,"lrn":3,"rev":70}, current: {"nu":90,"lrn":3,"rev":69}
[2020-11-16 16:29:10]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:29:17]	RCC - prev: {"nu":90,"lrn":3,"rev":69}, current: {"nu":90,"lrn":3,"rev":68}
[2020-11-16 16:29:17]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:29:20]	RCC - prev: {"nu":90,"lrn":3,"rev":68}, current: {"nu":90,"lrn":3,"rev":67}
[2020-11-16 16:29:20]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:30:32]	RCC - prev: {"nu":90,"lrn":3,"rev":67}, current: {"nu":90,"lrn":3,"rev":67}
[2020-11-16 16:30:32]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-11-16 16:30:34]	RCC - prev: {"nu":90,"lrn":3,"rev":67}, current: {"nu":90,"lrn":3,"rev":66}
[2020-11-16 16:30:34]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:30:38]	 - Output instruction: {"instType":2}
[2020-11-16 16:30:55]	RCC - prev: {"nu":90,"lrn":3,"rev":66}, current: {"nu":90,"lrn":3,"rev":66}
[2020-11-16 16:30:55]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-11-16 16:31:16]	RCC - prev: {"nu":90,"lrn":3,"rev":66}, current: {"nu":90,"lrn":3,"rev":65}
[2020-11-16 16:31:16]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:31:53]	RCC - prev: {"nu":90,"lrn":3,"rev":65}, current: {"nu":90,"lrn":3,"rev":64}
